id,user_id,match_id,runner_id,actions,status,coins_credited,odds,stake,liability,created_at,updated_at,info,market_id,provider_match_id,provider,heroic_market_type,winning_runner_ids,ip_address,debug_info
1,1,5,18,back,settled,975.0,1.95,500,500,2024-11-06 11:32:33.472939,2024-11-06 11:32:33.472939,"--- '{""title"":""Poker Live 06 Nov 05:02PM"",""team1"":null,""team2"":null,""market"":{""id"":11,""betfair_market_id"":""poker_market"",""betfair_market_type"":""poker_market"",""match_id"":12,""heroic_market_type"":""poker_market"",""runners"":[{""runner"":{""id"":18,""betfair_selection_id"":""11_player_a"",""betfair_runner_name"":""Player
  A"",""status"":""ACTIVE"",""can_back"":true,""can_lay"":false,""back"":1.95,""lay"":2.0,""sid"":""11_player_a"",""b"":1.95,""l"":2.0}},{""runner"":{""id"":19,""betfair_selection_id"":""11_player_b"",""betfair_runner_name"":""Player
  B"",""status"":""ACTIVE"",""can_back"":true,""can_lay"":false,""back"":1.95,""lay"":2.0,""sid"":""11_player_b"",""b"":1.95,""l"":2.0}}],""status"":""OPEN""},""start_time"":""2024-11-06T11:32:07Z""}'
",11,12,arenas,teen_patti_players,"[""18""]",127.0.0.1,"{""liability_capacity_validation"":{""current_user_coins"":""10000.0"",""coins_used_every_where_else"":150.0,""new_market_liability"":""500.0"",""total_new_liability"":""650.0"",""has_liability_capacity"":true}}"
2,1,6,20,back,settled,975.0,1.95,500,500,2024-11-06 12:04:39.854259,2024-11-06 12:04:39.854259,"--- '{""title"":""Poker Live 06 Nov 05:26PM"",""team1"":null,""team2"":null,""market"":{""id"":12,""betfair_market_id"":""poker_market"",""betfair_market_type"":""poker_market"",""match_id"":13,""heroic_market_type"":""poker_market"",""runners"":[{""runner"":{""id"":20,""betfair_selection_id"":""12_player_a"",""betfair_runner_name"":""Player
  A"",""status"":""ACTIVE"",""can_back"":true,""can_lay"":false,""back"":1.95,""lay"":2.0,""sid"":""12_player_a"",""b"":1.95,""l"":2.0}},{""runner"":{""id"":21,""betfair_selection_id"":""12_player_b"",""betfair_runner_name"":""Player
  B"",""status"":""ACTIVE"",""can_back"":true,""can_lay"":false,""back"":1.95,""lay"":2.0,""sid"":""12_player_b"",""b"":1.95,""l"":2.0}}],""status"":""OPEN""},""start_time"":""2024-11-06T11:56:49Z""}'
",12,13,arenas,teen_patti_players,"[""20""]",127.0.0.1,"{""liability_capacity_validation"":{""current_user_coins"":""10000.0"",""coins_used_every_where_else"":""650.0"",""new_market_liability"":""500.0"",""total_new_liability"":""1150.0"",""has_liability_capacity"":true}}"
3,1,7,24,back,settled,1395.0,2.79,500,500,2024-11-07 12:05:11.849501,2024-11-07 12:05:11.849501,"--- '{""title"":""Poker Live 07 Nov 12:21PM"",""team1"":null,""team2"":null,""market"":{""id"":14,""betfair_market_id"":""poker_market"",""betfair_market_type"":""poker_market"",""match_id"":15,""heroic_market_type"":""poker_market"",""runners"":[{""runner"":{""id"":24,""betfair_selection_id"":""14_player_a"",""betfair_runner_name"":""Player
  A"",""status"":""ACTIVE"",""can_back"":true,""can_lay"":false,""back"":2.79,""lay"":1.01,""sid"":""14_player_a"",""b"":2.79,""l"":1.01}},{""runner"":{""id"":25,""betfair_selection_id"":""14_player_b"",""betfair_runner_name"":""Player
  B"",""status"":""ACTIVE"",""can_back"":true,""can_lay"":false,""back"":1.95,""lay"":2.0,""sid"":""14_player_b"",""b"":1.95,""l"":2.0}}],""status"":""OPEN""},""start_time"":""2024-11-07T06:51:13Z""}'
",14,15,arenas,teen_patti_players,"[""24""]",127.0.0.1,"{""liability_capacity_validation"":{""current_user_coins"":""10000.0"",""coins_used_every_where_else"":""1150.0"",""new_market_liability"":""500.0"",""total_new_liability"":""1650.0"",""has_liability_capacity"":true}}"
4,1,9,28,back,settled,975.0,1.95,500,500,2024-11-08 09:24:39.135428,2024-11-08 10:43:50.777179,"--- '{""title"":""Poker Live 08 Nov 12:14PM"",""team1"":null,""team2"":null,""market"":{""id"":16,""betfair_market_id"":""poker_market"",""betfair_market_type"":""poker_market"",""match_id"":17,""heroic_market_type"":""poker_market"",""runners"":[{""runner"":{""id"":28,""betfair_selection_id"":""16_player_a"",""betfair_runner_name"":""Player
  A"",""status"":""ACTIVE"",""can_back"":true,""can_lay"":false,""back"":1.95,""lay"":2.0,""sid"":""16_player_a"",""b"":1.95,""l"":2.0}},{""runner"":{""id"":29,""betfair_selection_id"":""16_player_b"",""betfair_runner_name"":""Player
  B"",""status"":""ACTIVE"",""can_back"":true,""can_lay"":false,""back"":1.95,""lay"":2.0,""sid"":""16_player_b"",""b"":1.95,""l"":2.0}}],""status"":""OPEN""},""start_time"":""2024-11-08T06:44:02Z""}'
",16,17,arenas,teen_patti_players,,127.0.0.1,"{""liability_capacity_validation"":{""current_user_coins"":""10000.0"",""coins_used_every_where_else"":-325.0,""new_market_liability"":""500.0"",""total_new_liability"":""175.0"",""has_liability_capacity"":true}}"
5,1,12,36,back,settled,975.0,1.95,500,500,2024-11-09 07:11:22.260316,2024-11-09 07:11:22.260316,"--- '{""title"":""Poker Live 09 Nov 12:39PM"",""team1"":null,""team2"":null,""market"":{""id"":20,""betfair_market_id"":""poker_market"",""betfair_market_type"":""poker_market"",""match_id"":21,""heroic_market_type"":""poker_market"",""runners"":[{""runner"":{""id"":36,""betfair_selection_id"":""20_player_a"",""betfair_runner_name"":""Player
  A"",""status"":""ACTIVE"",""can_back"":true,""can_lay"":false,""back"":1.95,""lay"":2.0,""sid"":""20_player_a"",""b"":1.95,""l"":2.0}},{""runner"":{""id"":37,""betfair_selection_id"":""20_player_b"",""betfair_runner_name"":""Player
  B"",""status"":""ACTIVE"",""can_back"":true,""can_lay"":false,""back"":2.95,""lay"":1.01,""sid"":""20_player_b"",""b"":2.95,""l"":1.01}}],""status"":""OPEN""},""start_time"":""2024-11-09T07:09:51Z""}'
",20,21,arenas,teen_patti_players,"[""36""]",127.0.0.1,"{""liability_capacity_validation"":{""current_user_coins"":""10000.0"",""coins_used_every_where_else"":-325.0,""new_market_liability"":""500.0"",""total_new_liability"":""175.0"",""has_liability_capacity"":true}}"
6,1,14,40,back,settled,1475.0,2.95,500,500,2024-11-09 07:21:34.989949,2024-11-09 07:21:34.989949,"--- '{""title"":""Poker Live 09 Nov 12:51PM"",""team1"":null,""team2"":null,""market"":{""id"":22,""betfair_market_id"":""poker_market"",""betfair_market_type"":""poker_market"",""match_id"":23,""heroic_market_type"":""poker_market"",""runners"":[{""runner"":{""id"":40,""betfair_selection_id"":""22_player_a"",""betfair_runner_name"":""Player
  A"",""status"":""ACTIVE"",""can_back"":true,""can_lay"":false,""back"":2.95,""lay"":1.01,""sid"":""22_player_a"",""b"":2.95,""l"":1.01}},{""runner"":{""id"":41,""betfair_selection_id"":""22_player_b"",""betfair_runner_name"":""Player
  B"",""status"":""ACTIVE"",""can_back"":true,""can_lay"":false,""back"":2.95,""lay"":1.01,""sid"":""22_player_b"",""b"":2.95,""l"":1.01}}],""status"":""OPEN""},""start_time"":""2024-11-09T07:21:14Z""}'
",22,23,arenas,teen_patti_players,"[""40""]",127.0.0.1,"{""liability_capacity_validation"":{""current_user_coins"":""10000.0"",""coins_used_every_where_else"":""175.0"",""new_market_liability"":""500.0"",""total_new_liability"":""675.0"",""has_liability_capacity"":true}}"
7,1,15,43,back,settled,0.0,2.85,500,500,2024-11-09 07:32:33.839229,2024-11-09 07:32:33.839229,"--- '{""title"":""Poker Live 09 Nov 01:01PM"",""team1"":null,""team2"":null,""market"":{""id"":23,""betfair_market_id"":""poker_market"",""betfair_market_type"":""poker_market"",""match_id"":24,""heroic_market_type"":""poker_market"",""runners"":[{""runner"":{""id"":42,""betfair_selection_id"":""23_player_a"",""betfair_runner_name"":""Player
  A"",""status"":""ACTIVE"",""can_back"":true,""can_lay"":false,""back"":2.81,""lay"":1.01,""sid"":""23_player_a"",""b"":2.81,""l"":1.01}},{""runner"":{""id"":43,""betfair_selection_id"":""23_player_b"",""betfair_runner_name"":""Player
  B"",""status"":""ACTIVE"",""can_back"":true,""can_lay"":false,""back"":2.85,""lay"":1.01,""sid"":""23_player_b"",""b"":2.85,""l"":1.01}}],""status"":""OPEN""},""start_time"":""2024-11-09T07:31:58Z""}'
",23,24,arenas,teen_patti_players,"[""42""]",127.0.0.1,"{""liability_capacity_validation"":{""current_user_coins"":""10000.0"",""coins_used_every_where_else"":""675.0"",""new_market_liability"":""500.0"",""total_new_liability"":""1175.0"",""has_liability_capacity"":true}}"
8,1,16,44,back,settled,195.0,1.95,100,100,2024-11-09 07:45:24.481945,2024-11-09 07:45:24.481945,"--- '{""title"":""Poker Live 09 Nov 01:12PM"",""team1"":null,""team2"":null,""market"":{""id"":24,""betfair_market_id"":""poker_market"",""betfair_market_type"":""poker_market"",""match_id"":25,""heroic_market_type"":""poker_market"",""runners"":[{""runner"":{""id"":44,""betfair_selection_id"":""24_player_a"",""betfair_runner_name"":""Player
  A"",""status"":""ACTIVE"",""can_back"":true,""can_lay"":false,""back"":1.95,""lay"":2.0,""sid"":""24_player_a"",""b"":1.95,""l"":2.0}},{""runner"":{""id"":45,""betfair_selection_id"":""24_player_b"",""betfair_runner_name"":""Player
  B"",""status"":""ACTIVE"",""can_back"":true,""can_lay"":false,""back"":2.95,""lay"":1.01,""sid"":""24_player_b"",""b"":2.95,""l"":1.01}}],""status"":""OPEN""},""start_time"":""2024-11-09T07:42:27Z""}'
",24,25,arenas,teen_patti_players,"[""44""]",127.0.0.1,"{""liability_capacity_validation"":{""current_user_coins"":""10000.0"",""coins_used_every_where_else"":""1175.0"",""new_market_liability"":""100.0"",""total_new_liability"":""1275.0"",""has_liability_capacity"":true}}"
9,1,18,49,back,settled,0.0,1.95,100,100,2024-11-09 07:53:00.705582,2024-11-09 07:53:00.705582,"--- '{""title"":""Poker Live 09 Nov 01:22PM"",""team1"":null,""team2"":null,""market"":{""id"":26,""betfair_market_id"":""poker_market"",""betfair_market_type"":""poker_market"",""match_id"":27,""heroic_market_type"":""poker_market"",""runners"":[{""runner"":{""id"":48,""betfair_selection_id"":""26_player_a"",""betfair_runner_name"":""Player
  A"",""status"":""ACTIVE"",""can_back"":true,""can_lay"":false,""back"":1.95,""lay"":2.0,""sid"":""26_player_a"",""b"":1.95,""l"":2.0}},{""runner"":{""id"":49,""betfair_selection_id"":""26_player_b"",""betfair_runner_name"":""Player
  B"",""status"":""ACTIVE"",""can_back"":true,""can_lay"":false,""back"":1.95,""lay"":2.0,""sid"":""26_player_b"",""b"":1.95,""l"":2.0}}],""status"":""OPEN""},""start_time"":""2024-11-09T07:52:50Z""}'
",26,27,arenas,teen_patti_players,"[""48""]",127.0.0.1,"{""liability_capacity_validation"":{""current_user_coins"":""10000.0"",""coins_used_every_where_else"":""1275.0"",""new_market_liability"":""100.0"",""total_new_liability"":""1375.0"",""has_liability_capacity"":true}}"
10,1,19,50,back,settled,195.0,1.95,100,100,2024-11-09 08:02:57.824087,2025-09-17 06:16:14.797889,"--- '{""title"":""Poker Live 09 Nov 01:32PM"",""team1"":null,""team2"":null,""market"":{""id"":27,""betfair_market_id"":""poker_market"",""betfair_market_type"":""poker_market"",""match_id"":28,""heroic_market_type"":""poker_market"",""runners"":[{""runner"":{""id"":50,""betfair_selection_id"":""27_player_a"",""betfair_runner_name"":""Player
  A"",""status"":""ACTIVE"",""can_back"":true,""can_lay"":false,""back"":1.95,""lay"":2.0,""sid"":""27_player_a"",""b"":1.95,""l"":2.0}},{""runner"":{""id"":51,""betfair_selection_id"":""27_player_b"",""betfair_runner_name"":""Player
  B"",""status"":""ACTIVE"",""can_back"":true,""can_lay"":false,""back"":1.95,""lay"":2.0,""sid"":""27_player_b"",""b"":1.95,""l"":2.0}}],""status"":""OPEN""},""start_time"":""2024-11-09T08:02:35Z""}'
",27,28,arenas,teen_patti_players,,127.0.0.1,"{""liability_capacity_validation"":{""current_user_coins"":""10000.0"",""coins_used_every_where_else"":""1375.0"",""new_market_liability"":""100.0"",""total_new_liability"":""1475.0"",""has_liability_capacity"":true}}"
